id,name,min_diameter_m,max_diameter_m,absolute_magnitude_h,close_approach_datetime,relative_velocity_kmps,miss_distance_lunar,orbiting_body,first_observation_date,last_observation_date,orbit_id,orbit_determination_datetime,orbit_uncertainty,orbit_observations_used,orbital_period_days,orbit_class,min_orbit_intersection,is_potentially_hazardous,is_sentry_object,nasa_jpl_url
3552574,(2010 WF3),167.71,375.01,21,2021-07-07 08:14,8.6,71.08,Earth,2001-10-20,2020-12-07,36,2021-04-15 04:31:35,0,125,407.5463992205428,APO,.178047,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3552574
3893455,(2019 WF2),18.39,41.12,25.8,2021-07-07 09:34,14.66,98.04,Earth,2019-11-23,2019-11-26,3,2021-04-15 22:09:10,8,22,693.0803355027135,APO,.0226264,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3893455
3157028,(2003 MK4),175.61,392.68,20.9,2021-07-07 09:36,16.27,99.44,Earth,2003-06-27,2021-06-09,39,2021-06-10 11:41:25,0,239,410.1848476993251,APO,.00156165,true,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3157028
3843784,(2019 RF1),4.62,10.33,28.8,2021-07-07 11:56,15.07,133.27,Earth,2019-09-05,2019-09-06,2,2021-04-15 21:40:12,7,26,706.7758915651312,APO,.00762846,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3843784
3700064,(2014 XK3),350.39,783.5,19.4,2021-07-07 14:08,20.86,173.67,Earth,2014-12-04,2021-05-14,38,2021-05-14 05:52:49,1,163,843.6946001947458,AMO,.2911,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3700064
3595927,(2012 BX1),29.14,65.17,24.8,2021-07-07 14:39,22.95,175.78,Earth,2012-01-18,2012-01-25,7,2021-04-15 05:55:50,7,39,447.95557884125,APO,.0133639,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3595927
3678610,(2014 OT338),139.49,311.92,21.4,2021-07-07 16:53,2.28,167.16,Earth,2014-07-31,2014-11-16,25,2021-04-15 10:34:12,4,85,863.0416833320483,AMO,.135951,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3678610
54115836,(2021 CZ5),17.56,39.27,25.9,2021-07-07 17:34,9.21,102.17,Earth,2021-02-10,2021-02-12,3,2021-04-15 23:25:16,7,30,456.6719628100406,APO,.0437556,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54115836
54152391,(2021 LD),67.14,150.12,22.988,2021-07-07 20:43,12.7,40.35,Earth,2021-05-13,2021-06-28,8,2021-06-28 06:24:36,6,39,1278.332011528445,APO,.083505,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54152391
3463161,(2009 LQ1),105.82,236.61,22,2021-07-07 21:27,0.65,97.84,Earth,2009-02-28,2021-06-12,12,2021-06-14 06:27:04,0,43,623.2041477144294,AMO,.105382,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3463161
3842592,(2019 KH2),146.07,326.62,21.3,2021-07-08 01:30,12.37,74.55,Earth,2015-05-13,2021-06-14,22,2021-07-03 06:40:18,0,121,712.1052916936836,AMO,.0913066,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3842592
3799801,(2018 EX),10.58,23.66,27,2021-07-08 01:52,5.79,157.12,Earth,2018-03-07,2018-04-09,9,2021-04-15 20:23:58,6,54,531.5507242053224,AMO,.0301514,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3799801
54122533,(2021 CF10),37.72,84.34,24.24,2021-07-08 04:22,9.89,123.03,Earth,2021-02-15,2021-03-05,6,2021-04-15 23:25:36,7,27,528.9933296133917,APO,.0744004,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54122533
54105262,(2021 AW4),53.77,120.24,23.47,2021-07-08 11:26,15.94,118.44,Earth,2021-01-10,2021-01-17,5,2021-04-15 23:22:48,8,33,559.2661444702885,APO,.134993,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54105262
3434369,(2008 UW91),121.49,271.67,21.7,2021-07-08 12:14,19.57,34.95,Earth,2008-10-28,2019-10-19,20,2021-04-15 02:06:33,1,52,448.3595374303881,APO,.0209368,true,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3434369
3769438,(2017 BG136),17.11,38.25,25.957,2021-07-08 12:14,17.72,152.12,Earth,2017-01-31,2017-02-01,3,2021-04-15 18:31:13,8,16,362.4147825122247,ATE,.0515382,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3769438
3739066,(2015 YD10),46.19,103.29,23.8,2021-07-08 20:46,12.56,100.33,Earth,2015-12-31,2016-06-04,11,2021-04-15 15:44:51,4,27,446.8129265409693,AMO,.0994696,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3739066
54158259,(2021 LJ5),100.13,223.89,22.12,2021-07-09 00:54,16.7,72.96,Earth,2021-06-10,2021-06-27,4,2021-06-27 06:21:32,9,26,599.6567981819688,APO,.0810988,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54158259
3842685,(2019 LP),116.03,259.44,21.8,2021-07-09 02:05,7.77,78.46,Earth,2017-04-07,2021-06-14,11,2021-07-02 01:25:33,1,70,713.5447694588316,AMO,.201521,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3842685
54156744,(2021 LB2),168.17,376.05,20.994,2021-07-09 03:29,7.83,147.6,Earth,2021-06-05,2021-06-27,7,2021-06-27 06:21:29,8,41,1378.247025716492,AMO,.210526,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54156744
3838121,(2019 CL1),60.89,136.16,23.2,2021-07-09 09:03,12.1,32.67,Earth,2019-02-04,2019-03-08,8,2021-04-15 21:04:21,7,51,765.4646053114012,APO,.0700641,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3838121
54160166,(2021 LQ6),157.09,351.27,21.142,2021-07-09 09:32,13.77,161.72,Earth,2021-06-08,2021-07-01,2,2021-07-02 05:52:49,4,18,314.6025675265983,ATE,.0666858,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54160166
54156750,(2021 LK2),248.29,555.19,20.148,2021-07-09 09:44,10.49,86.28,Earth,2021-06-06,2021-07-01,11,2021-07-02 05:52:49,7,81,1305.812379673358,AMO,.119321,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54156750
54154697,(2021 LD1),232.46,519.8,20.291,2021-07-09 12:20,24.48,25.12,Earth,2021-04-29,2021-07-03,13,2021-07-03 06:40:21,6,70,1715.695344306993,APO,.0278944,true,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54154697
3754379,(2016 NR),44.11,98.64,23.9,2021-07-09 15:42,6.77,61.94,Earth,2016-07-03,2016-07-29,11,2021-04-15 17:13:31,5,46,302.9191368905559,ATE,.0382355,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3754379
3521439,(2010 JN71),139.49,311.92,21.4,2021-07-09 18:21,17.67,123.58,Earth,2010-05-11,2021-04-25,34,2021-04-26 07:12:02,0,136,1344.431954332955,APO,.0314212,true,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3521439
54134552,(2021 GY),108.28,242.13,21.95,2021-07-09 19:06,8.43,36.11,Earth,2021-03-18,2021-06-30,13,2021-06-30 06:50:11,5,57,1012.993414977108,APO,.0851682,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54134552
54165114,(2021 ND),30.74,68.74,24.684,2021-07-09 20:18,8.65,35.53,Earth,2021-07-01,2021-07-02,1,2021-07-02 17:12:03,8,19,1201.183744152694,AMO,.0857204,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54165114
54016668,(2020 HN3),3.5,7.84,29.4,2021-07-09 21:23,3.66,46.87,Earth,2020-04-19,2020-04-22,2,2021-04-15 22:25:15,6,12,375.6630709833054,APO,.00198424,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54016668
3536126,(2010 MU111),552.78,1236.06,18.41,2021-07-09 22:40,31.85,181.34,Earth,2010-06-23,2021-04-24,18,2021-04-24 06:28:26,0,55,1350.244476916365,APO,.0624842,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3536126
3769888,(2017 DC36),101.05,225.96,22.1,2021-07-09 23:18,10.06,34.96,Earth,2017-02-17,2019-06-04,38,2021-04-15 18:38:21,2,369,351.1939771801869,ATE,.000516075,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3769888
3672464,(2014 KM39),35.04,78.35,24.4,2021-07-10 03:28,9.02,120.91,Earth,2014-05-25,2014-07-03,9,2021-04-15 10:04:34,5,21,315.4446424884305,ATE,.0147501,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3672464
54160168,(2021 LS6),46.64,104.29,23.779,2021-07-10 07:36,5.62,68.01,Earth,2021-06-11,2021-06-30,3,2021-07-01 07:22:32,8,24,1129.338034243569,AMO,.13776,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54160168
54147412,(2021 KY1),42.26,94.5,23.993,2021-07-10 08:25,5.69,31.31,Earth,2021-05-14,2021-06-18,10,2021-06-18 06:41:14,5,52,462.5129936501357,APO,.0284192,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54147412
3483327,(2009 XP2),24.24,54.21,25.2,2021-07-10 09:50,6.31,121.54,Earth,2009-12-13,2010-01-13,15,2021-04-15 03:19:49,6,44,489.0893462250023,APO,.0150699,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3483327
54165115,(2021 NE),12.7,28.39,26.604,2021-07-10 15:33,9.68,5.77,Earth,2021-07-01,2021-07-02,1,2021-07-02 17:12:03,8,17,1290.896466595159,APO,.0142552,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54165115
3684730,(2014 QE365),167.71,375.01,21,2021-07-10 15:52,18.44,90.98,Earth,2014-08-23,2018-09-10,14,2021-04-15 10:58:35,0,54,293.6202449020979,ATE,.160025,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3684730
2380636,380636 (2004 XN14),295.5,660.75,19.77,2021-07-10 19:04,10.03,109.6,Earth,2004-12-10,2021-01-07,55,2021-04-14 10:47:33,0,279,328.2672041172926,ATE,.00322654,true,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2380636
3826668,(2018 PH9),42.13,94.2,24,2021-07-10 20:52,12.44,132.39,Earth,2018-08-07,2018-09-30,12,2021-04-15 20:34:56,6,56,1074.062848705564,AMO,.102901,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3826668
3698551,(2014 HC199),80.27,179.49,22.6,2021-07-10 21:47,12.87,32.37,Earth,2014-04-28,2014-05-02,4,2021-04-15 09:54:51,7,26,416.7687181865646,APO,.000305077,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3698551
54016563,(2020 HT),12.15,27.17,26.7,2021-07-10 23:30,13.34,133.75,Earth,2020-04-15,2020-04-25,3,2021-04-15 22:25:01,7,27,330.6004306923035,ATE,.043341,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54016563
54158253,(2021 LD5),138.92,310.63,21.409,2021-07-11 00:25,6.02,118.88,Earth,2021-06-08,2021-06-21,4,2021-06-21 06:25:55,8,28,1117.594181538824,AMO,.196424,false,false,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54158253
